OrderID;OrderDate;ProductName;ProductBrand;ProductSubcategory;ProductCategory;DeliveryType;PaymentType;ClientGender;Sales;ClientStatus;ShopName;ShopAddress;ShopAddressCoord
2017-003465;15.02.2019;Прикроватный коврик;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Банковская карта;Женщина;887;Базовый;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-003666;31.03.2019;Средство для мытья посуды с ароматом лимона;Мойдодыр;Моющие средства;Бытовая химия;Самовывоз;Банковская карта;Женщина;358;Золотой;Дзета;город Москва, Рязанский проспект, дом 2, строение 24;[55.730702846,37.735875581]
2017-004003;03.04.2019;Средство для мытья посуды с ароматом лимона;Мойдодыр;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;358;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004003;03.04.2019;Столовые приборы на 4 персоны;Хлеб-соль;Кухонные товары;Бытовые товары;Самовывоз;Наличные;Мужчина;3778;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004003;03.04.2019;Весы напольные;Разумный дом;Техника для красоты и здоровья;Техника для дома;Самовывоз;Наличные;Мужчина;888;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004015;20.07.2019;"Универсальное чистящее средство ""Мойдодыр""";Мойдодыр;Чистящие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;303;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-004015;20.07.2019;Миксер многофункциональный;Kitchen&Food;Кухонная;Техника для дома;Самовывоз;Наличные;Мужчина;1048;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-004015;20.07.2019;Весы напольные;Разумный дом;Техника для красоты и здоровья;Техника для дома;Самовывоз;Наличные;Мужчина;885;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-004429;27.08.2019;Средство для мытья посуды с ароматом лимона;Мойдодыр;Моющие средства;Бытовая химия;Доставка;Наличные;Женщина;359;Серебряный;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004429;27.08.2019;"Средство для чистки ванны ""Белее белого""";БиоДом;Чистящие средства;Бытовая химия;Доставка;Наличные;Женщина;153;Серебряный;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004429;27.08.2019;Зубная паста отбеливающая;Кедровый лес;Косметика и здоровье;Бытовые товары;Доставка;Наличные;Женщина;86;Серебряный;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004562;07.09.2019;Порошок для чистки плиты;БиоДом;Чистящие средства;Бытовая химия;Доставка;Банковская карта;Мужчина;204;Золотой;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-004562;07.09.2019;"Средство для чистки ванны ""Белее белого""";БиоДом;Чистящие средства;Бытовая химия;Доставка;Банковская карта;Мужчина;154;Золотой;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-004562;07.09.2019;Мультиварка с 40 режимами готовки еды;Разумный дом;Кухонная;Техника для дома;Доставка;Банковская карта;Мужчина;3438;Золотой;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-004602;05.11.2019;Зубной порошок;Кедровый лес;Косметика и здоровье;Бытовые товары;Доставка;Наличные;Мужчина;64;Золотой;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004747;07.07.2019;Порошок для стирки вещей органический;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;656;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004747;07.07.2019;Средство для мытья посуды с ароматом лимона;Мойдодыр;Моющие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;360;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004747;07.07.2019;Зубная паста для чувствительных десен;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Банковская карта;Мужчина;110;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-004747;07.07.2019;Весы напольные;Разумный дом;Техника для красоты и здоровья;Техника для дома;Самовывоз;Банковская карта;Мужчина;892;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-005033;15.05.2019;Средство для мытья посуды с ароматом лимона;Мойдодыр;Моющие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;356;Базовый;Дельта;город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;[55.63799676,37.590931324]
2017-005262;18.07.2019;Выпрямитель для волос;TechBeauty;Техника для красоты и здоровья;Техника для дома;Самовывоз;Банковская карта;Мужчина;873;Серебряный;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-005496;04.11.2019;Порошок для стирки вещей органический;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;654;Базовый;Йота;город Москва, улица Газопровод, дом 9А;[55.591001279,37.606876613]
2017-005878;15.03.2019;Зубная паста для чувствительных десен;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Наличные;Мужчина;109;Золотой;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-005878;15.03.2019;Зубная паста для чувствительных десен;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Наличные;Мужчина;110;Золотой;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-005878;15.03.2019;Декоративный букет;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Наличные;Мужчина;801;Золотой;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-005878;15.03.2019;Электрический чайник;Разумный дом;Кухонная;Техника для дома;Самовывоз;Наличные;Мужчина;1264;Золотой;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-005892;16.07.2019;Гель для стирки белых вещей;Чистый дом;Моющие средства;Бытовая химия;Доставка;Банковская карта;Мужчина;497;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-005892;16.07.2019;Весы напольные;Разумный дом;Техника для красоты и здоровья;Техника для дома;Доставка;Банковская карта;Мужчина;884;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-006106;12.11.2019;Раствор для мытья полов;БиоДом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;140;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
2017-006106;12.11.2019;"Универсальное чистящее средство ""Мойдодыр""";Мойдодыр;Чистящие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;306;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
2017-006485;27.03.2019;"Чистящее средство для автомобиля ""Скорость""";Городской драйв;Чистящие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;646;Базовый;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-006485;27.03.2019;Фен портативный;TechBeauty;Техника для красоты и здоровья;Техника для дома;Самовывоз;Банковская карта;Мужчина;529;Базовый;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-006535;03.10.2019;Зубной порошок;Кедровый лес;Косметика и здоровье;Бытовые товары;Доставка;Наличные;Мужчина;63;Золотой;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-006535;03.10.2019;Декоративный букет;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Доставка;Наличные;Мужчина;795;Золотой;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-007102;28.11.2019;Лава-лампа;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Наличные;Мужчина;2130;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-007102;28.11.2019;Фен портативный;TechBeauty;Техника для красоты и здоровья;Техника для дома;Самовывоз;Наличные;Мужчина;531;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-007160;05.10.2019;Скатерть кухонная темно-синяя ;Ростовская фабрика;Кухонные товары;Бытовые товары;Самовывоз;Наличные;Женщина;325;Базовый;Дзета;город Москва, Рязанский проспект, дом 2, строение 24;[55.730702846,37.735875581]
2017-007183;21.08.2019;Зубная паста отбеливающая;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Банковская карта;Мужчина;86;Золотой;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-007187;01.06.2019;Порошок для стирки вещей органический;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;653;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-007187;01.06.2019;Зубной порошок;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Банковская карта;Мужчина;64;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-007187;01.06.2019;Магниты на холодильник, 5 шт.;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Банковская карта;Мужчина;274;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-007187;01.06.2019;Зубная щетка электрическая;Разумный дом;Техника для красоты и здоровья;Техника для дома;Самовывоз;Банковская карта;Мужчина;763;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-007298;12.03.2019;Скатерть кухонная темно-синяя ;Ростовская фабрика;Кухонные товары;Бытовые товары;Самовывоз;Банковская карта;Мужчина;326;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-007298;12.03.2019;Мультиварка с 40 режимами готовки еды;Разумный дом;Кухонная;Техника для дома;Самовывоз;Банковская карта;Мужчина;3436;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-007450;02.08.2019;Декоративный букет;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Банковская карта;Мужчина;796;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-007450;02.08.2019;Декоративный букет;1001 и одна нужная мелочь;Товары последней необходимости;Бытовые товары;Самовывоз;Банковская карта;Мужчина;802;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-007450;02.08.2019;Весы напольные;Разумный дом;Техника для красоты и здоровья;Техника для дома;Самовывоз;Банковская карта;Мужчина;893;Базовый;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174]
2017-007557;15.07.2019;Блендер;Kitchen&Food;Кухонная;Техника для дома;Самовывоз;Наличные;Мужчина;1466;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-007767;21.04.2019;"Универсальное чистящее средство ""Мойдодыр""";Мойдодыр;Чистящие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;302;Базовый;Дельта;город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;[55.63799676,37.590931324]
2017-007767;21.04.2019;Мультиварка с 40 режимами готовки еды;Разумный дом;Кухонная;Техника для дома;Самовывоз;Банковская карта;Мужчина;3400;Базовый;Дельта;город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;[55.63799676,37.590931324]
2017-008286;10.02.2019;Тостер;Разумный дом;Кухонная;Техника для дома;Доставка;Наличные;Женщина;1054;Серебряный;Дзета;город Москва, Рязанский проспект, дом 2, строение 24;[55.730702846,37.735875581]
2017-008299;24.06.2019;"Чистящее средство для автомобиля ""Скорость""";Городской драйв;Чистящие средства;Бытовая химия;Самовывоз;Наличные;Женщина;644;Базовый;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-008364;16.05.2019;Блендер;Kitchen&Food;Кухонная;Техника для дома;Доставка;Банковская карта;Мужчина;1458;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-008516;22.01.2019;"Универсальное чистящее средство ""Мойдодыр""";Мойдодыр;Чистящие средства;Бытовая химия;Доставка;Банковская карта;Мужчина;304;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-008516;22.01.2019;Миксер многофункциональный;Kitchen&Food;Кухонная;Техника для дома;Доставка;Банковская карта;Мужчина;1032;Серебряный;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912]
2017-008804;21.02.2019;Средство для мытья посуды с ароматом лимона;Мойдодыр;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;356;Базовый;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-008885;06.07.2019;Раствор для мытья полов;БиоДом;Моющие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;142;Золотой;Эта;город Москва, улица Вилиса Лациса, дом 23, корпус 2;[55.862016728,37.422337259]
2017-008885;06.07.2019;"Чистящее средство для автомобиля ""Скорость""";Городской драйв;Чистящие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;641;Золотой;Эта;город Москва, улица Вилиса Лациса, дом 23, корпус 2;[55.862016728,37.422337259]
2017-009255;19.01.2019;Порошок для стирки вещей органический;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Банковская карта;Мужчина;650;Базовый;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-009654;13.06.2019;Гель для стирки белых вещей;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;498;Базовый;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-009654;13.06.2019;Гель для стирки белых вещей;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;503;Базовый;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-009654;13.06.2019;"Универсальное чистящее средство ""Мойдодыр""";Мойдодыр;Чистящие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;302;Базовый;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-009851;22.02.2019;Зубная паста отбеливающая;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Наличные;Мужчина;85;Золотой;Альфа;город Москва, Гвардейская улица, дом 15, корпус 2;[55.724743484,37.422065222]
2017-010663;02.06.2019;Зубной порошок;Кедровый лес;Косметика и здоровье;Бытовые товары;Доставка;Наличные;Мужчина;63;Базовый;Альфа;город Москва, Гвардейская улица, дом 15, корпус 2;[55.724743484,37.422065222]
2017-010795;10.09.2019;Тостер;Разумный дом;Кухонная;Техника для дома;Самовывоз;Банковская карта;Мужчина;1041;Базовый;Омега;город Москва, улица Новаторов, дом 4, корпус 8;[55.665135883,37.516913389]
2017-011027;02.04.2019;Набор тарелок на 4 персоны, керамические;Хлеб-соль;Кухонные товары;Бытовые товары;Самовывоз;Банковская карта;Мужчина;2583;Серебряный;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-011027;02.04.2019;Миксер многофункциональный;Kitchen&Food;Кухонная;Техника для дома;Самовывоз;Банковская карта;Мужчина;1034;Серебряный;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997]
2017-011055;14.01.2019;Зубной порошок;Кедровый лес;Косметика и здоровье;Бытовые товары;Самовывоз;Наличные;Женщина;64;Базовый;Сигма;город Москва, улица Демьяна Бедного, дом 8;[55.772185093,37.488024823]
2017-011139;20.03.2019;Столовые приборы на 4 персоны;Хлеб-соль;Кухонные товары;Бытовые товары;Самовывоз;Банковская карта;Мужчина;3747;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
2017-011139;20.03.2019;Увлажнитель воздуха;Фабрика комфорта;Техника для красоты и здоровья;Техника для дома;Самовывоз;Банковская карта;Мужчина;5724;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
2017-011139;20.03.2019;Весы напольные;Разумный дом;Техника для красоты и здоровья;Техника для дома;Самовывоз;Банковская карта;Мужчина;886;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
2017-011527;09.01.2019;Порошок для чистки плиты;БиоДом;Чистящие средства;Бытовая химия;Самовывоз;Банковская карта;Женщина;204;Золотой;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-011527;09.01.2019;Мультиварка с 40 режимами готовки еды;Разумный дом;Кухонная;Техника для дома;Самовывоз;Банковская карта;Женщина;3424;Золотой;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-011527;09.01.2019;Весы напольные;Разумный дом;Техника для красоты и здоровья;Техника для дома;Самовывоз;Банковская карта;Женщина;887;Золотой;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792]
2017-011787;06.10.2019;Порошок для стирки вещей органический;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;653;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
2017-011787;06.10.2019;Гель для стирки цветных вещей;Чистый дом;Моющие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;489;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
2017-011787;06.10.2019;Порошок для чистки плиты;БиоДом;Чистящие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;206;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
2017-011787;06.10.2019;"Чистящее средство для автомобиля ""Скорость""";Городской драйв;Чистящие средства;Бытовая химия;Самовывоз;Наличные;Мужчина;645;Базовый;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107]
